number,S1,S2,S3,S4,S5,S6,S7,S8,S9,平均数,name,level,watch (a person),stand,walk,carry/hold (an object),sit,"ride (e.g., a bike, a car, a horse)",sail boat,listen to (a person),crouch/kneel,play musical instrument,dance,lie/sleep,run/jog,martial art,"drive (e.g., a car, a truck)",touch (an object),get up,bend/bow (at the waist),Badminton_playing,Gathering,Chess_playing,Three_wheeled motorcycling,Square_dancing,Street_vending_without_equipment,Street vending_with_equipment
57,3,3,2,3,2,4,3,3,2,2.78,057.csv,1,1050,910,1550,24,687,333,0,0,0,0,0,0,5,0,0,0,16,0,0,4,0,1,0,0,0
58,1,1,1,1,1,1,1,1,1,1,058.csv,1,1127,994,1834,145,687,333,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0
59,4,4,4,3,2,3,2,2,1,2.78,059.csv,2,723,1165,1510,16,172,1,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,3
60,1,1,1,1,1,1,1,1,1,1,060.csv,2,723,1410,1510,16,219,1,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
64,2,2,2,2,3,3,4,3,5,2.89,064.csv,3,1381,2682,1042,226,221,0,0,34,0,0,0,0,68,0,0,0,0,0,0,0,0,0,1,0,0
65,2,1,1,1,1,2,1,1,1,1.22,065.csv,1,1127,994,2538,149,687,333,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0
72,3,3,3,2,2,2,2,1,1,2.11,072.csv,1,1150,1125,2781,149,1319,451,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,3,0,0,0
74,2,3,4,3,2,3,1,2,1,2.33,074.csv,3,200,573,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
75,2,1,5,1,1,1,1,1,1,1.56,075.csv,3,144,144,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0
76,5,5,2,5,5,5,5,5,5,4.67,076.csv,2,2703,1078,1323,307,749,0,0,457,0,0,0,0,7,0,0,0,0,0,0,20,0,0,0,9,2
78,3,2,4,1,2,3,2,1,3,2.33,078.csv,3,1102,1905,675,226,191,0,0,34,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,4
81,2,1,4,4,1,3,3,1,1,2.22,081.csv,1,5,633,284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
